experiment,n,seed,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E1,50,7,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.95422316914807e-11,0.001030901000149,0,1.000000000000004,8.881784197001252e-16,6.66576679997087e-15,4.4408920985006214e-15,-5.329070518200752e-15
E1,50,7,post_dca,GREEN_POST,67,1,52,39.0,-2.499999999999999,9.013329409905004e-11,0.013762242999973001,1,5.329070518200752e-15,8.881784197001252e-16,6.66576679997087e-15,4.4408920985006214e-15,-5.329070518200752e-15
E1,50,7,cold_cc_dca,GREEN,62,1,32,17.0,-2.499999999265896,5.41887230682829e-05,0.006069711000009001,1,7.341087737700036e-10,8.881784197001252e-16,6.66576679997087e-15,4.4408920985006214e-15,-5.329070518200752e-15
E1,50,7,persistent_cc_dca,GREEN,62,1,29,17.0,-2.499999999265896,5.41887230682829e-05,0.0061587949999190005,1,7.341087737700036e-10,8.881784197001252e-16,6.66576679997087e-15,4.4408920985006214e-15,-5.329070518200752e-15
E1,50,8,plain_dca,FIRST_ORDER,39,0,0,,-1.5,6.954230317256253e-11,0.001133545000129,0,1.000000000000002,6.661338147750939e-16,3.239003022417233e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,50,8,post_dca,GREEN_POST,67,1,52,39.0,-2.500000000000001,9.013295261373594e-11,0.013914142999965,1,2.220446049250313e-15,6.661338147750939e-16,3.239003022417233e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,50,8,cold_cc_dca,GREEN,70,1,31,17.0,-2.499999999184799,5.7103435658647557e-05,0.006834452000020001,1,8.152034602915137e-10,6.661338147750939e-16,3.239003022417233e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,50,8,persistent_cc_dca,GREEN,70,1,29,17.0,-2.499999999184799,5.7103435658647557e-05,0.006142161000070001,1,8.152034602915137e-10,6.661338147750939e-16,3.239003022417233e-15,3.3306690738754696e-15,-8.881784197001252e-16
E1,50,9,plain_dca,FIRST_ORDER,39,0,0,,-1.4999999999999991,6.954243896210008e-11,0.0010766089999370001,0,1.000000000000006,1.1102230246251561e-15,6.0543325548241095e-15,5.5511151231257795e-15,-2.664535259100375e-15
E1,50,9,post_dca,GREEN_POST,67,1,52,39.0,-2.4999999999999982,9.013283893415907e-11,0.013819120000107002,1,7.105427357601002e-15,1.1102230246251561e-15,6.0543325548241095e-15,5.5511151231257795e-15,-2.664535259100375e-15
