experiment,n,seed,eta,S,threshold,theorem_hypothesis,case,alignment,decrease,predicted_delta,R_dec
E2,200,6,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.0006697664832790001,1.157404594909689e-05,57.86796477437368
E2,200,7,0.0,5.5488608970964056e-15,0.0018518518518510002,True,III-hard,2.692644336875638e-16,0.0006248047332710001,1.1574074074074182e-05,53.98312895462161
E2,200,7,1e-06,2.000000000139265e-06,0.0018518518518480002,True,III-hard,1.000000000266846e-06,0.00062485469422,1.1574074074039452e-05,53.987445580809826
E2,200,7,1e-05,1.9999999999156343e-05,0.0018518518514810001,True,III-hard,1.0000000000275812e-05,0.000625304342429,1.1574074070601962e-05,54.026295202122874
E2,200,7,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.000629800791035,1.1574073726851972e-05,54.414789977888816
E2,200,7,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.000649784260663,1.1574065393520781e-05,56.14140222734114
E2,200,7,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.0006697664832760001,1.1574045949096961e-05,57.86796477410475
E2,200,8,0.0,4.096121435281258e-15,0.0018518518518510002,True,III-hard,3.0924677765376273e-16,0.0006248047332660001,1.157407407407407e-05,53.98312895421923
E2,200,8,1e-06,2.000000000529167e-06,0.0018518518518480002,True,III-hard,1.000000000308497e-06,0.000624854694216,1.1574074074039352e-05,53.98744558048415
E2,200,8,1e-05,1.999999999957598e-05,0.0018518518514810001,True,III-hard,1.000000000032477e-05,0.000625304342426,1.1574074070601842e-05,54.02629520183567
E2,200,8,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910310001,1.1574073726851872e-05,54.414789977543975
E2,200,8,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.00064978426066,1.1574065393520681e-05,56.141402227073044
E2,200,8,0.0009000000000000001,0.001799999271,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.0006697664832730001,1.1574045949096871e-05,57.86796477383663
E2,200,9,0.0,5.307558396814395e-15,0.0018518518518510002,True,III-hard,2.0519410605807198e-16,0.0006248047332660001,1.157407407407399e-05,53.983128954257964
E2,200,9,1e-06,2.000000000083632e-06,0.0018518518518480002,True,III-hard,1.000000000208872e-06,0.000624854694216,1.157407407403928e-05,53.98744558048448
E2,200,9,1e-05,1.9999999999085013e-05,0.0018518518514810001,True,III-hard,1.0000000000207861e-05,0.0006253043424250001,1.1574074070601782e-05,54.0262952017784
E2,200,9,0.0001,0.00019999999900000001,0.0018518518148140002,True,III-hard,0.0001,0.0006298007910300001,1.157407372685179e-05,54.414789977486784
E2,200,9,0.0005,0.000999999875,0.001851850925926,True,III-hard,0.0005,0.00064978426066,1.1574065393520602e-05,56.141402227073414
E2,200,9,0.0009000000000000001,0.0017999992709990002,0.0018518488518530002,True,III-hard,0.0009000000000000001,0.0006697664832730001,1.1574045949096771e-05,57.8679647738563
E2,200,10,0.0,4.845371416454493e-15,0.0018518518518510002,True,III-hard,1.341532534164402e-16,0.00062480473327,1.157407407407419e-05,53.98312895458321
E2,200,10,1e-06,1.999999999300398e-06,0.0018518518518480002,True,III-hard,9.999999998547668e-07,0.000624854694221,1.157407407403946e-05,53.98744558088651
