experiment,n,seed,mode,final_delta,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E4,100,18,cold_final,0.0625,persistent_cc_dca,GREEN,80,1,84,24,-2.4999999999998073,8.775904036423267e-07,0.07301566299975,1,1.9628743075372763e-13,6.661338147750939e-16,4.816585936542586e-15,3.330669073875468e-15,-1.77635683940025e-15
E4,100,19,progressive,0.0625,persistent_cc_dca,GREEN,79,1,100,15,-2.499999999999814,8.604681353867994e-07,0.088091663999875,5,1.816324868286756e-13,0.0,5.432046903102443e-15,3.885780586188047e-15,-8.881784197001252e-16
E4,100,19,cold_final,0.0625,persistent_cc_dca,GREEN,90,1,84,24,-2.499999999999765,9.66718219656912e-07,0.042367173000002006,1,2.309263891220325e-13,0.0,5.432046903102443e-15,3.885780586188047e-15,-8.881784197001252e-16
E4,200,0,progressive,0.0625,persistent_cc_dca,GREEN,69,1,123,15,-2.4999999999998153,8.601291483903257e-07,0.17651091100015,5,1.865174681370263e-13,4.440892098500626e-16,3.309826963320144e-15,2.220446049250311e-15,-3.552713678800501e-15
E4,200,0,cold_final,0.0625,persistent_cc_dca,GREEN,81,1,88,25,-2.499999999999765,9.663409205007618e-07,0.078104906000135,1,2.362554596402333e-13,4.440892098500626e-16,3.309826963320144e-15,2.220446049250311e-15,-3.552713678800501e-15
E4,200,1,progressive,0.0625,persistent_cc_dca,GREEN,66,1,123,15,-2.49999999999978,9.350638852767573e-07,0.15505618599991,5,2.1715962361668062e-13,0.0,6.520168415616034e-15,1.665334536937734e-15,-2.664535259100375e-15
E4,200,1,cold_final,0.0625,persistent_cc_dca,GREEN,79,1,88,25,-2.499999999999832,8.225721404811608e-07,0.078259167999931,1,1.652011860642233e-13,0.0,6.520168415616034e-15,1.665334536937734e-15,-2.664535259100375e-15
E4,200,2,progressive,0.0625,persistent_cc_dca,GREEN,86,1,123,15,-2.499999999999811,8.697191221216961e-07,0.17690133700034402,5,1.900701818158268e-13,2.220446049250313e-16,4.614427459824391e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,200,2,cold_final,0.0625,persistent_cc_dca,GREEN,89,1,88,25,-2.499999999999758,9.86298174794967e-07,0.079030337999938,1,2.4380497620768443e-13,2.220446049250313e-16,4.614427459824391e-15,1.1102230246251561e-15,8.881784197001252e-16
E4,200,3,progressive,0.0625,persistent_cc_dca,GREEN,95,1,123,15,-2.49999999999977,9.560838994313354e-07,0.17872443900023402,5,2.300382107023324e-13,0.0,4.6317294628848084e-15,0.0,-1.77635683940025e-15
E4,200,3,cold_final,0.0625,persistent_cc_dca,GREEN,108,1,88,25,-2.499999999999825,8.384756410962312e-07,0.056535488999998,1,1.754152378907747e-13,0.0,4.6317294628848084e-15,0.0,-1.77635683940025e-15
E4,200,4,progressive,0.0625,persistent_cc_dca,GREEN,70,1,123,15,-2.499999999999812,8.662507443251439e-07,0.173846514999695,5,1.882938249764265e-13,0.0,4.1778695527871334e-15,5.551115123125783e-16,0.0
E4,200,4,cold_final,0.0625,persistent_cc_dca,GREEN,88,1,88,25,-2.499999999999775,9.520852559643593e-07,0.08386740100013401,1,2.260414078136818e-13,0.0,4.1778695527871334e-15,5.551115123125783e-16,0.0
E4,200,5,progressive,0.0625,persistent_cc_dca,GREEN,67,1,123,15,-2.4999999999997993,8.957573481827309e-07,0.17776308300017202,5,1.98507876802978e-13,0.0,3.033531976723769e-15,3.3306690738754696e-15,-8.881784197001252e-16
E4,200,5,cold_final,0.0625,persistent_cc_dca,GREEN,79,1,88,25,-2.499999999999758,9.858346211277979e-07,0.056613486999594,1,2.393640841091837e-13,0.0,3.033531976723769e-15,3.3306690738754696e-15,-8.881784197001252e-16
E4,200,6,progressive,0.0625,persistent_cc_dca,GREEN,86,1,123,15,-2.499999999999825,8.333136409571691e-07,0.149587232000158,5,1.709743457922741e-13,0.0,9.754168238984783e-15,2.775557561562891e-15,0.0
E4,200,6,cold_final,0.0625,persistent_cc_dca,GREEN,98,1,88,25,-2.499999999999781,9.372087087017045e-07,0.08332857200002701,1,2.149391775674303e-13,0.0,9.754168238984783e-15,2.775557561562891e-15,0.0
E4,200,7,progressive,0.0625,persistent_cc_dca,GREEN,81,1,123,15,-2.4999999999998233,8.44064892887684e-07,0.17322477800007602,5,1.8030021919912542e-13,4.440892098500626e-16,4.9887186642641874e-15,2.220446049250313e-15,8.881784197001252e-16
E4,200,7,cold_final,0.0625,persistent_cc_dca,GREEN,93,1,88,25,-2.499999999999777,9.483931255176299e-07,0.082828791000338,1,2.260414078136818e-13,4.440892098500626e-16,4.9887186642641874e-15,2.220446049250313e-15,8.881784197001252e-16
E4,200,8,progressive,0.0625,persistent_cc_dca,GREEN,80,1,123,15,-2.499999999999742,1.0163850085786158e-06,0.14892750100034302,5,2.589040093425865e-13,0.0,4.293531675059181e-15,0.0,-8.881784197001252e-16
E4,200,8,cold_final,0.0625,persistent_cc_dca,GREEN,93,1,88,25,-2.499999999999802,8.909154847069592e-07,0.084303537000323,1,1.98951966012828e-13,0.0,4.293531675059181e-15,0.0,-8.881784197001252e-16
E4,200,9,progressive,0.0625,persistent_cc_dca,GREEN,86,1,123,15,-2.499999999999789,9.173150076929131e-07,0.17376227700015,5,2.078337502098293e-13,0.0,6.7931163875380015e-15,3.885780586188046e-15,-1.77635683940025e-15
E4,200,9,cold_final,0.0625,persistent_cc_dca,GREEN,98,1,88,25,-2.499999999999805,8.8478124157141e-07,0.08836811600031001,1,1.91846538655227e-13,0.0,6.7931163875380015e-15,3.885780586188046e-15,-1.77635683940025e-15
E4,200,10,progressive,0.0625,persistent_cc_dca,GREEN,66,1,123,15,-2.49999999999977,9.580487908017768e-07,0.172739489999912,5,2.34035013590983e-13,6.661338147750939e-16,4.5333268638710655e-15,3.3306690738754696e-15,0.0
E4,200,10,cold_final,0.0625,persistent_cc_dca,GREEN,89,1,88,25,-2.499999999999768,9.633267782181238e-07,0.056721589000062,1,2.353672812205332e-13,6.661338147750939e-16,4.5333268638710655e-15,3.3306690738754696e-15,0.0
E4,200,11,progressive,0.0625,persistent_cc_dca,GREEN,82,1,123,15,-2.4999999999997993,8.969663152814416e-07,0.175452540000151,5,2.042810365310288e-13,4.440892098500626e-16,3.90717803356763e-15,2.220446049250313e-15,8.881784197001252e-16
E4,200,11,cold_final,0.0625,persistent_cc_dca,GREEN,94,1,88,25,-2.499999999999756,9.878926751817884e-07,0.08632497700000301,1,2.469136006766348e-13,4.440892098500626e-16,3.90717803356763e-15,2.220446049250313e-15,8.881784197001252e-16
E4,200,12,progressive,0.0625,persistent_cc_dca,GREEN,70,1,123,15,-2.499999999999742,1.0107747063188118e-06,0.174357811999925,5,2.5623947408348613e-13,0.0,5.1620737485720884e-15,0.0,-1.77635683940025e-15
E4,200,12,cold_final,0.0625,persistent_cc_dca,GREEN,83,1,88,25,-2.499999999999802,8.882288408826168e-07,0.056286826999894006,1,1.9628743075372763e-13,0.0,5.1620737485720884e-15,0.0,-1.77635683940025e-15
E4,200,13,progressive,0.0625,persistent_cc_dca,GREEN,85,1,123,15,-2.499999999999826,8.342095111757263e-07,0.17013270899997202,5,1.7141843500212412e-13,0.0,3.590071004922031e-15,2.775557561562891e-15,0.0
E4,200,13,cold_final,0.0625,persistent_cc_dca,GREEN,97,1,88,25,-2.49999999999978,9.376275035625008e-07,0.07719984499999501,1,2.1671553440683053e-13,0.0,3.590071004922031e-15,2.775557561562891e-15,0.0
E4,200,14,progressive,0.0625,persistent_cc_dca,GREEN,90,1,123,15,-2.499999999999781,9.38681296906368e-07,0.17537046500001402,5,2.224886941348813e-13,4.440892098500626e-16,4.317141597498564e-15,2.2204460492503143e-15,2.664535259100375e-15
E4,200,14,cold_final,0.0625,persistent_cc_dca,GREEN,92,1,88,25,-2.499999999999798,8.996859910227614e-07,0.056256602000303,1,2.06057393370429e-13,4.440892098500626e-16,4.317141597498564e-15,2.2204460492503143e-15,2.664535259100375e-15
E4,200,15,progressive,0.0625,persistent_cc_dca,GREEN,77,1,123,15,-2.499999999999781,9.355405475906713e-07,0.17886749400031401,5,2.162714451969805e-13,0.0,3.794937695401678e-15,2.220446049250313e-15,8.881784197001252e-16
E4,200,15,cold_final,0.0625,persistent_cc_dca,GREEN,90,1,88,25,-2.4999999999998312,8.228786210039214e-07,0.08840125000006001,1,1.656452752740733e-13,0.0,3.794937695401678e-15,2.220446049250313e-15,8.881784197001252e-16
E4,200,16,progressive,0.0625,persistent_cc_dca,GREEN,83,1,123,15,-2.499999999999795,9.020568305206604e-07,0.162060659999951,5,2.069455717901291e-13,4.440892098500626e-16,3.067329133532388e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,200,16,cold_final,0.0625,persistent_cc_dca,GREEN,95,1,88,25,-2.499999999999752,9.92874073819763e-07,0.05546029300012301,1,2.500222251455852e-13,4.440892098500626e-16,3.067329133532388e-15,2.2204460492503123e-15,-8.881784197001252e-16
E4,200,17,progressive,0.0625,persistent_cc_dca,GREEN,75,1,123,15,-2.499999999999775,9.443658102603465e-07,0.14825298999994602,5,2.233768725545815e-13,0.0,4.513313449022589e-15,5.551115123125778e-16,-4.440892098500626e-15
E4,200,17,cold_final,0.0625,persistent_cc_dca,GREEN,88,1,88,25,-2.499999999999827,8.306873446833152e-07,0.08117354099977,1,1.7141843500212412e-13,0.0,4.513313449022589e-15,5.551115123125778e-16,-4.440892098500626e-15
E4,200,18,progressive,0.0625,persistent_cc_dca,GREEN,84,1,123,15,-2.499999999999824,8.390546820862271e-07,0.17014420699979302,5,1.754152378907747e-13,0.0,2.886815231854385e-15,1.1102230246251561e-15,0.0
E4,200,18,cold_final,0.0625,persistent_cc_dca,GREEN,96,1,88,25,-2.499999999999779,9.427044253264183e-07,0.056684243999825,1,2.2071233729548112e-13,0.0,2.886815231854385e-15,1.1102230246251561e-15,0.0
E4,200,19,progressive,0.0625,persistent_cc_dca,GREEN,80,1,123,15,-2.499999999999758,9.848323276896116e-07,0.168410489000052,5,2.4735768988648493e-13,1.1102230246251561e-15,5.297713785087616e-15,5.5511151231257835e-15,0.0
E4,200,19,cold_final,0.0625,persistent_cc_dca,GREEN,93,1,88,25,-2.499999999999814,8.639986353358835e-07,0.07884315599994801,1,1.91402449445377e-13,1.1102230246251561e-15,5.297713785087616e-15,5.5511151231257835e-15,0.0
