experiment,axis,value,n,seed,negfrac,bscale,method,status,N_DCA,N_E,N_Av,first_escape_dca,q,S,runtime_sec,stages_completed,objective_gap,ref_feas,ref_stationarity,ref_complementarity,ref_shifted_psd
E5,dimension,800.0,800,1,,,persistent_cc_dca,GREEN,81,1,132,15.0,-2.499999999999841,7.99226135717722e-07,0.370497849999992,5,,,,,
E5,generic,0.0,100,1,0.1,0.1,persistent_cc_dca,GREEN,173,0,100,,-2.4962987203413682,9.937513352676091e-07,0.09554420900030801,5,0.00901012182633,0.0,5.773068312925135e-15,7.989700509776436e-13,0.004507960866622
E5,generic,0.0,100,1,0.1,0.5,persistent_cc_dca,GREEN,284,0,100,,-2.497750148663128,9.614861221655438e-07,0.09370632400032201,5,0.044698861760905005,0.0,6.30238480040407e-15,4.4610599668472355e-14,0.022707001092662
E5,generic,0.0,100,1,0.25,0.1,persistent_cc_dca,GREEN,566,0,100,,-2.496781178759351,9.921554558301297e-07,0.10571751600036801,5,0.008996511296067001,0.0,8.261594328557179e-15,7.884144527320952e-13,0.004514496881997
E5,generic,0.0,100,1,0.25,0.5,persistent_cc_dca,GREEN,664,0,100,,-2.553551585498056,9.554325526450784e-07,0.10796627899981101,5,-5.03499464343804e-11,0.0,8.384067874218987e-15,5.252446437991402e-11,0.023448325706973003
E5,generic,0.0,200,1,0.1,0.1,persistent_cc_dca,GREEN,463,0,123,,-2.498328978687298,9.803236327365738e-07,0.19456805900017501,5,0.005035863921877001,0.0,6.127267029527822e-15,2.471490767230846e-13,0.002519055438409
E5,generic,0.0,200,1,0.1,0.5,persistent_cc_dca,GREEN,483,0,123,,-2.508651562615363,9.648867216259583e-07,0.191131552000115,5,0.025043820793681,0.0,6.253150666287365e-15,9.165283005600683e-12,0.01266198661344
E5,generic,0.0,200,1,0.25,0.1,persistent_cc_dca,GREEN,1121,0,123,,-2.498728280194134,1.0029092559491059e-06,0.24107379399993,5,0.005032010607116001,1.6431300764452312e-13,5.536131708953152e-15,8.21979263097205e-13,0.002520949987631
E5,generic,0.0,200,1,0.25,0.5,persistent_cc_dca,GREEN,1266,0,123,,-2.518842442826216,9.653287480929413e-07,0.22022249899964602,5,0.024553106800148,0.0,5.68473646086491e-15,7.494127985628762e-11,0.012892503589840001
E5,generic,0.0,400,1,0.1,0.1,persistent_cc_dca,GREEN,947,0,128,,-2.502785097569775,1.007042135299074e-06,0.36528326000006905,5,1.479572020457453e-10,2.8759883363704827e-11,7.618716981469464e-15,1.438490738993266e-10,0.001726609255487
E5,generic,0.0,400,1,0.1,0.5,persistent_cc_dca,GREEN,902,0,128,,-2.534986479560382,9.583497498508179e-07,0.368937474000176,5,3.463451747620638e-12,0.0,7.261313181712185e-15,9.4534957069065e-14,0.008795263879140001
E5,generic,0.0,400,1,0.25,0.1,persistent_cc_dca,GREEN,2177,0,128,,-2.5035971125841563,1.0036841287133951e-06,0.536774050000076,5,1.17957643652744e-10,2.155120526481369e-11,6.565400216442874e-15,1.0779338052666121e-10,0.0017332767301770002
E5,generic,0.0,400,1,0.25,0.5,persistent_cc_dca,GREEN,1956,0,128,,-2.5546249263408782,9.638247558990396e-07,0.579337637000207,5,5.583888906812717e-11,9.42934619274638e-12,6.8128994429097324e-15,4.7237709797063476e-11,0.009648477367558
E5,gap,0.1,200,2,,,persistent_cc_dca,GREEN,1655,1,123,16.0,-2.499999999994933,1.006693432354589e-06,0.24247189200013902,5,,,,,
E5,gap,0.25,200,2,,,persistent_cc_dca,GREEN,669,1,123,15.0,-2.499999999997978,1.005508244738003e-06,0.20693086999972302,5,,,,,
E5,gap,0.5,200,2,,,persistent_cc_dca,GREEN,340,1,123,14.0,-2.499999999999008,9.961118863756833e-07,0.158854767999855,5,,,,,
E5,gap,1.0,200,2,,,persistent_cc_dca,GREEN,174,1,123,13.0,-2.4999999999995453,9.543622552833282e-07,0.17633440000008702,5,,,,,
E5,gap,2.0,200,2,,,persistent_cc_dca,GREEN,83,1,123,15.0,-2.499999999999819,8.529810438311177e-07,0.17271854199998402,5,,,,,
E5,multiplicity,1.0,200,2,,,persistent_cc_dca,GREEN,83,1,123,15.0,-2.499999999999819,8.529810438311177e-07,0.152183591999801,5,,,,,
E5,multiplicity,2.0,200,2,,,persistent_cc_dca,GREEN,83,1,123,15.0,-2.499999999999827,8.335255968202945e-07,0.173965357999804,5,,,,,
E5,multiplicity,4.0,200,2,,,persistent_cc_dca,GREEN,91,1,123,15.0,-2.499999999999777,9.437791296128031e-07,0.172047443999872,5,,,,,
E5,multiplicity,8.0,200,2,,,persistent_cc_dca,GREEN,86,1,123,15.0,-2.499999999999751,1.000868203400855e-06,0.175225072000102,5,,,,,
E5,multiplicity,16.0,200,2,,,persistent_cc_dca,GREEN,95,1,123,14.0,-2.499999999999819,8.518432517619974e-07,0.158054359999823,5,,,,,
